,Full Journal Title,Title,TITLE_UPPER,SJR,Journal Impact Factor
59,NATURE CELL BIOLOGY,Nature Cell Biology,NATURE CELL BIOLOGY,11.38,28.824
60,ACADEMY OF MANAGEMENT JOURNAL,Academy of Management Journal,ACADEMY OF MANAGEMENT JOURNAL,11.193,10.194
61,Annual Review of Cell and Developmental Biology,Annual Review of Cell and Developmental Biology,ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,11.094,13.827
62,STRATEGIC MANAGEMENT JOURNAL,Strategic Management Journal,STRATEGIC MANAGEMENT JOURNAL,11.035,8.641
63,Annual Review of Genetics,Annual Review of Genetics,ANNUAL REVIEW OF GENETICS,10.88,16.83
64,ASTRONOMY AND ASTROPHYSICS REVIEW,Astronomy and Astrophysics Review,ASTRONOMY AND ASTROPHYSICS REVIEW,10.857,25.357
65,PSYCHOLOGICAL BULLETIN,Psychological Bulletin,PSYCHOLOGICAL BULLETIN,10.737,17.737
66,PSYCHOLOGICAL BULLETIN,Psychological Bulletin,PSYCHOLOGICAL BULLETIN,10.737,17.737
67,Nature Reviews Disease Primers,Nature Reviews Disease Primers,NATURE REVIEWS DISEASE PRIMERS,10.718,52.329
68,ADVANCED MATERIALS,Advanced Materials,ADVANCED MATERIALS,10.707,30.849
69,NBER Macroeconomics Annual,NBER Macroeconomics Annual,NBER MACROECONOMICS ANNUAL,10.535,4.429
70,JOURNAL OF CLINICAL ONCOLOGY,Journal of Clinical Oncology,JOURNAL OF CLINICAL ONCOLOGY,10.482,44.544
71,Annual Review of Physiology,Annual Review of Physiology,ANNUAL REVIEW OF PHYSIOLOGY,10.475,19.318
72,,American Economic Journal: Macroeconomics,AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,10.443,
73,Annual Review of Psychology,Annual Review of Psychology,ANNUAL REVIEW OF PSYCHOLOGY,10.358,24.137
74,Annual Review of Psychology,Annual Review of Psychology,ANNUAL REVIEW OF PSYCHOLOGY,10.358,24.137
75,Cell Metabolism,Cell Metabolism,CELL METABOLISM,10.326,27.287
76,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,Journal of the American College of Cardiology,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,10.315,24.094
77,Annual Review of Neuroscience,Annual Review of Neuroscience,ANNUAL REVIEW OF NEUROSCIENCE,10.219,12.449
78,Nature Reviews Physics,Nature Reviews Physics,NATURE REVIEWS PHYSICS,10.12,31.068
79,Advanced Energy Materials,Advanced Energy Materials,ADVANCED ENERGY MATERIALS,10.08,29.368
80,Nature Chemistry,Nature Chemistry,NATURE CHEMISTRY,9.996,24.427
81,NATURE REVIEWS DRUG DISCOVERY,Nature Reviews Drug Discovery,NATURE REVIEWS DRUG DISCOVERY,9.921,84.694
82,Annual Review of Organizational Psychology and Organizational Behavior,Annual Review of Organizational Psychology and Organizational Behavior,ANNUAL REVIEW OF ORGANIZATIONAL PSYCHOLOGY AND ORGANIZATIONAL BEHAVIOR,9.807,18.333
83,EUROPEAN UROLOGY,European Urology,EUROPEAN UROLOGY,9.799,20.096
84,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,Personality and Social Psychology Review,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,9.757,18.464
85,JOURNAL OF ECONOMIC PERSPECTIVES,Journal of Economic Perspectives,JOURNAL OF ECONOMIC PERSPECTIVES,9.614,7.901
86,NEURON,Neuron,NEURON,9.612,17.173
87,Nature Electronics,Nature Electronics,NATURE ELECTRONICS,9.569,33.686
88,GENOME RESEARCH,Genome Research,GENOME RESEARCH,9.556,9.043
89,,Nature Structural and Molecular Biology,NATURE STRUCTURAL AND MOLECULAR BIOLOGY,9.448,
90,,Annual Review of Pathology: Mechanisms of Disease,ANNUAL REVIEW OF PATHOLOGY: MECHANISMS OF DISEASE,9.417,
91,,Foundations and Trends in Finance,FOUNDATIONS AND TRENDS IN FINANCE,9.231,
92,CLINICAL MICROBIOLOGY REVIEWS,Clinical Microbiology Reviews,CLINICAL MICROBIOLOGY REVIEWS,9.177,26.132
93,PROGRESS IN MATERIALS SCIENCE,Progress in Materials Science,PROGRESS IN MATERIALS SCIENCE,9.172,39.58
94,Nature Physics,Nature Physics,NATURE PHYSICS,9.157,20.034
95,Annual Review of Biophysics,Annual Review of Biophysics,ANNUAL REVIEW OF BIOPHYSICS,9.144,12.981
96,NATURE IMMUNOLOGY,Nature Immunology,NATURE IMMUNOLOGY,9.074,25.606
97,,"Lancet Respiratory Medicine,The","LANCET RESPIRATORY MEDICINE,THE",9.03,
98,GENOME BIOLOGY,Genome Biology,GENOME BIOLOGY,9.027,13.583
99,NUCLEIC ACIDS RESEARCH,Nucleic Acids Research,NUCLEIC ACIDS RESEARCH,9.008,16.971
